rpm,v_ms,thrust_N,torque_Nm
21000.0,68.415002,19.858000,0.770000
21000.0,72.214842,18.544000,0.744000
21000.0,76.014682,17.042000,0.708000
21000.0,79.814522,15.390000,0.662000
21000.0,83.614362,13.624000,0.607000
21000.0,87.418672,11.771000,0.545000
21000.0,91.218512,9.854000,0.477000
21000.0,95.018352,7.893000,0.403000
21000.0,98.818192,5.906000,0.325000
21000.0,102.618032,3.912000,0.243000
21000.0,106.422342,1.935000,0.158000
21000.0,110.222182,-0.004000,0.072000
22000.0,0.000000,24.967000,0.588000
22000.0,3.978656,24.930000,0.592000
22000.0,7.961782,24.915000,0.597000
22000.0,11.940438,24.925000,0.604000
22000.0,15.923565,24.959000,0.614000
22000.0,19.902221,25.017000,0.626000
22000.0,23.885347,25.096000,0.642000
22000.0,27.864003,25.189000,0.660000
22000.0,31.847130,25.289000,0.681000
22000.0,35.825786,25.385000,0.704000
22000.0,39.808912,25.461000,0.730000
22000.0,43.787568,25.498000,0.757000
22000.0,47.770694,25.471000,0.785000
22000.0,51.749350,25.351000,0.811000
22000.0,55.732477,25.100000,0.835000
22000.0,59.711133,24.677000,0.854000
22000.0,63.694259,24.031000,0.865000
22000.0,67.672915,23.123000,0.864000
22000.0,71.656042,21.940000,0.850000
22000.0,75.634698,20.504000,0.823000
22000.0,79.617824,18.856000,0.783000
22000.0,83.596480,17.039000,0.732000
22000.0,87.579606,15.093000,0.672000
22000.0,91.558262,13.048000,0.603000
22000.0,95.541389,10.929000,0.528000
22000.0,99.520045,8.759000,0.446000
22000.0,103.503171,6.558000,0.359000
22000.0,107.481827,4.348000,0.268000
22000.0,111.464954,2.153000,0.174000
22000.0,115.443610,-0.003000,0.078000
23000.0,0.000000,27.300000,0.646000
23000.0,4.161942,27.260000,0.649000
23000.0,8.319414,27.245000,0.655000
23000.0,12.481357,27.256000,0.663000
23000.0,16.638829,27.296000,0.673000
23000.0,20.800771,27.361000,0.687000
23000.0,24.962714,27.450000,0.703000
23000.0,29.120186,27.555000,0.723000
23000.0,33.282128,27.670000,0.746000
23000.0,37.439600,27.781000,0.772000
23000.0,41.601542,27.872000,0.800000
23000.0,45.759014,27.924000,0.830000
23000.0,49.920957,27.908000,0.860000
23000.0,54.082899,27.793000,0.890000
23000.0,58.240371,27.537000,0.917000
23000.0,62.402314,27.093000,0.938000
23000.0,66.559786,26.407000,0.950000
23000.0,70.721728,25.433000,0.950000
23000.0,74.883670,24.155000,0.936000
23000.0,79.041142,22.595000,0.906000
23000.0,83.203085,20.796000,0.863000
23000.0,87.360557,18.807000,0.807000
23000.0,91.522499,16.671000,0.741000
23000.0,95.679971,14.422000,0.666000
23000.0,99.841914,12.090000,0.582000
23000.0,104.003856,9.698000,0.492000
23000.0,108.161328,7.269000,0.396000
23000.0,112.323270,4.826000,0.295000
